ID;Nom;Query;place;salaire;Description;competence;url
1;Vernon Hills, IL Full Time;Computer Technician;Illinois;$16.00 - $19.00/Hour;"Epitec POSITION: Support Technician JOB TYPE: W2, 6 month Contract, OnsiteLOCATION:Vernon Hills, IllinoisJOB SUMMARY FOR SUPPORT TECHNICIAN:The Technician Level One is responsible for installing and configuring hardware and software on a high volume of computers, printers and other products for customers on a daily basis.This will include un-boxing units to configure andboxing units back up to prepare for shipment.
It may be necessary on occasion for this individual to work beyond their regularly scheduled shift
Overtime is to be expected and in some cases may be required
RESPONSIBILITIES FOR SUPPORT TECHNICIAN:
Configure customers systems to their required specifications.
Test systems to ensure 100% quality.
Maintain minimum monthly productivity goals.
Troubleshoot problems with computer systems, including hardware, software and peripheral equipment.
Ensure that customers receive the highest level of customer service.
Communicate issues concerning customer orders to the area Help Desk or Team Leader.
Adhere to safety procedures and guidelines at all times.
REQUIRED EXPERIENCE FOR SUPPORT TECHNICIAN:
Net+ Certification
Knowledge of computer components and configuration of various types of computers, as demonstrated by previous experience building and installing computers
Basic knowledge of CDW’s internal systems
SKILLS AND QUALIFICATIONS FOR SUPPORT TECHNICIAN:
Demonstrate ability to lift and carry up to 25 pounds of force frequently (34-67% of the workday) and 26 to 50 pounds of force occasionally (0-33% of the workday). The team lift system must be utilized for loads weighing more than 50 pounds.
Demonstrate ability to push and pull up to 10 pounds of force occasionally (0-33% of the workday).
Demonstrate ability to perform eight or more hours of standing, walking, bending, lifting, stooping and carrying products in combination at any given time.
Ability to work in a warehouse environment which includes changes in temperature as weather fluctuates, noise from conveyors and forklifts.
Why should you choose Epitec?
We started Epitec with a single focus, “Placing People First.” Knowing every good endeavor begins with listening and understanding, we’ve set about challenging every part of the employment process. Bringing the proper connections together for the perfect fit.
How is Epitec different?
Epitec gets to know our prospective employees, using these insights to locate the perfect placement for you. We are there, every step of the way. Providing a best-in-class compensation package combined with the opportunity to grow financially and personally through your work.
What is the result?
Epitec represents the world’s top companies and works to fill their open jobs with the world’s best talent. That’s led to Epitec servicing an impressive list of Fortune 100 companies. We've also won many awards, including one of Crain’s Detroit Business “Cool Places to Work,” and 101 Best & Brightest – local, national and elite winner. And that’s just the beginning, as we work to innovate the way the world thinks about employment.
Perform computer system hardware upgrades and repairs
Installing hardware and software systems
Conduct hardware and software repairs
Examine and repair computer hardware and peripheral components
Oversee and participate in computer hardware and software upgrades
Resolve technical hardware and software issues
Install computer hardware, software, wiring and equipment
Recommended Skills
Computer Hardware Installations (Computer Systems) Maintenance Repairing (Computer Systems) Troubleshooting (Problem Solving)
Help us improve CareerBuilder by providing feedback about this job:
Report this job
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Computer', 'Hardware', 'Installations', '(Computer', 'Systems)', 'Maintenance', 'Repairing', '(Computer', 'Systems)', 'Troubleshooting', '(Problem', 'Solving)']];https://www.careerbuilder.com/job/JD85S66D8GW2WP28H7T
2;BBC Technology Solutions Cincinnati, OH Full Time;Computer Hardware Tech;Ohio;$15.00 - $23.00/Hour;"This is your exciting opportunity to work for a fast-growing computer refurb company.
Are you a leader with the break/fix model to diagnose, repair, and maintain hardware and software components for the smooth running of computer systems?

Then we are interested in you!
If you enjoy working in a fast-paced, fun atmosphere, positive company culture, and fulfilling responsibilities. then you need to apply! BBC Technology Solutions is interviewing now to fill these new full-time positions, quickly. If you are an organized, reliable, detailed-oriented, and a leader as a Computer Break/Fix Technician we want you to be a part of our team!


Use your expertise to:
· Troubleshoots, setup, installs and configures PC hardware such as memory, adapter cards, printers, smartphones, etc. for company-owned devices
· Implements systems to ensure ongoing technology maintenance and enhancements
· Assists with network support issues such as account creation, installation, and maintenance of network printers, low-level maintenance, management of disk space, etc
· Understand and use all windows operating systems, including Linux and Unix
· Assists with network management in development implementation of wiring configuration, connectivity solutions, overall network operation systems, network software, server hardware configurations, network file systems, and directory structure
· Assists in ensuring LAN/WAN system integrity and security. Also assists with installation and configuration of network hardware and software
· Provides input for purchases of hardware and software needed to operate the network, servers, and desktop PC’s
· Assists in evaluating customer’s needs and recommends appropriate equipment and software configurations
· Assist with Purchase orders and invoicing customers utilizing QuickBooks (accounting version)
· Assist with inventory management
· Microsoft Office 365

What you need to bring with you:
· Basic mathematical skills such as adding, subtracting, multiplication, and division
· Excellent verbal & written communication skills
· Good interpersonal skills
· Analytical thinker with Problem-solving skills
· Proficient in database programming in software installation
· CompTIA+ Certification preferred but not required
· Must have the physical abilities to lift 50+lbs. at one time, and the ability to stand for long extended periods at a time. This position may also require pushing, pulling, bending, lifting, sitting, stretching, and reaching
Recommended Skills
Computer Hardware Computer Systems Installations (Computer Systems) Networking Repairing (Computer Systems) Troubleshooting (Problem Solving)
Help us improve CareerBuilder by providing feedback about this job:
Report this job
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Computer', 'Hardware', 'Computer', 'Systems', 'Installations', '(Computer', 'Systems)', 'Networking', 'Repairing', '(Computer', 'Systems)', 'Troubleshooting', '(Problem', 'Solving)']];https://www.careerbuilder.com/job/JCL1JX6PQ9G87HDW028
3;Ambassador Personnel LaGrange, GA Part Time;Computer Specialist;Géorgie;$14.00 - $15.00/Hour;"Ambassador Personnel is looking to hire a Computer Specialist/PC Technician.

The Computer Specialist/PC Technician is responsible for assisting the IT Manager with the installation, maintenance, and repair of computers and networks across all locations. Under minimal supervision from the Technology Manager, the Computer Technician will ensure that IT infrastructure is in place and is used to its maximum capabilities.

skills required:
• Experience with computer systems and hardware/software maintenance
• Ability to work accurately and problem-solve
• Maintain and repair technological equipment or peripheral devices (printers, speakers etc.).
• Manage security options and software in computers and networks to maintain privacy and protection from attacks
• Periodically travel to service locations in Carrollton, Newnan, Franklin, and Manchester to install hardware
If you are interested in learning more about this position, please call us at
706-634-9075.
Ambassador Personnel, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, religion, sex, disability status, protected veteran status, or any other attribute protected by law.
Recommended Skills
Computer Hardware Desktop Support Help Customer Phone Support
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 11/West Point
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Computer', 'Hardware', 'Desktop', 'Support', 'Help', 'Customer', 'Phone', 'Support']];https://www.careerbuilder.com/job/JCL6NG678RQ8HKPQM8P
4;National Security Agency Fort Meade, MD Full Time;Computer Scientist - Development Programs - Mid-Level;Maryland;$86,389 - $116,788/Year;"Responsibilities
The mission demands that NSA ""see"" the world through a different lens than any other organization. Our Computer Scientists face technical challenges well beyond the wildest imaginations of most people. NSA's mission requires persistent engagement to anticipate and understand complex threats in real-time, on a global scale. From Counter-Terrorism to Combat Support to Cybersecurity, NSA's Computer Science community creates novel, cutting-edge solutions that advance science and underpin every aspect of our foreign intelligence and cybersecurity missions. Solving these extraordinary problems allows NSA to share solutions with the world by contributing to open source, licensing patents, and publishing technical papers.

NSA's development programs help employees enhance their skills and improve their understanding of a specific discipline. The programs are generally three years long and feature rotational tours throughout the Agency. Designed for entry to mid-level employees, development program participants are afforded the opportunity to receive tailored training, often with a cohort, and multiple assignments across Agency Directorates to develop skills and experience to ground their career at the NSA.

Applicants will be considered for one of the following NSA's Development Programs:

CDP - Computer Science Development Program
C2DP - Cryptanalytic Computer Network Operations Development Program
CNODP - Computer Network Operations Development Program
CSEDP - Cybersecurity Engineering Development Program
ITDP - Information Technology Development Program

For additional information on these development programs please visit: www.intelligencecareers.gov/NSA/nsadevprograms.html.


Qualifications
Salary Range: $86,389 - $116,788 (Full Performance)

*The qualifications listed are the minimum acceptable to be considered for the position. Salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position.

Entry is with a Bachelor's degree plus 3 years of relevant experience or a Master's degree plus 1 year of relevant experience or a Doctoral degree and no experience. An Associate's degree plus 5 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position.

Degree must be in Computer Science (CS). Related fields (e.g., Engineering, Mathematics) may be considered relevant if the programs contain, at minimum, a concentration of courses in the following foundational CS areas: algorithms; computer architecture (not network architecture); programming methodologies and languages; data structures; logic and computation; and advanced mathematics (for example, calculus, discrete mathematics). Information Technology (IT) or Information Systems (IS) degrees may be considered relevant if the programs contain the amount and type of coursework equivalent to a CS major.

Relevant experience must be in the software development process (i.e., requirements analysis, software design, implementation, testing, integration, deployment/installation, and maintenance) and programming.
As an NSA computer science development program participant your responsibilities may include:
- creating analytic applications that scale across multiple, very large, data sets from disparate sources
- leveraging and integrating open source, commercial off-the-shelf, and government developed software
- analyzing user/customer requirements related to software and/or software system design
- building software prototypes
- designing, developing, and debugging software applications
- troubleshooting and debugging computer code
- applying mathematical or computational methods and lines of reasoning to complex software systems
- identifying target communications within the global network
- designing and optimizing algorithms, data structures, modeling, and analytics to solve real-world scientific problems
- solving cryptanalytic, high-performance computing, and computer network problems
- leading new advances in computer science, such as:
- microprocessor-based advances
- beyond the horizon supercomputers
- signals processing (including analog control)
- user interfaces
- deep learning
- cybersecurity
- design and implementation of encryption
- advanced algorithms
- detecting, identifying, and evaluating vulnerabilities in cyberspace systems and/or networks
- developing software and/or hardware exploitation capabilities that enable collection of foreign intelligence from target networks and systems
- designing solutions to defend against adversarial threats directed towards the US, to include cutting-edge technologies such as mobile, SCADA, and Internet of Things
- analyzing sophisticated malware to thwart cyber attacks and identify new threats
- developing methods and applications for tools to exploit and analyze computer systems
Recommended Skills
Computer Networking Systems Cybersecurity Data Modeling High Performance Computing Programming And Scripting Experience Software Development
Help us improve CareerBuilder by providing feedback about this job:
Report this job
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Computer', 'Networking', 'Systems', 'Cybersecurity', 'Data', 'Modeling', 'High', 'Performance', 'Computing', 'Programming', 'And', 'Scripting', 'Experience', 'Software', 'Development']];https://www.careerbuilder.com/job/J2V1N074VZMV09TLBKG
5;Vernon Hills, IL Full Time;Computer Technician;Illinois;$16.00 - $19.00/Hour;"Epitec
POSITION:
Support Technician
JOB TYPE:
W2, 6 month Contract, Onsite
LOCATION:
Vernon Hills, Illinois
JOB SUMMARY FOR SUPPORT TECHNICIAN:
The Technician Level One is responsible for installing and configuring hardware and software on a high volume of computers, printers and other products for customers on a daily basis.
This will include un-boxing units to configure and boxing units back up to prepare for shipment.
It may be necessary on occasion for this individual to work beyond their regularly scheduled shift
Overtime is to be expected and in some cases may be required
RESPONSIBILITIES FOR SUPPORT TECHNICIAN:
Configure customers systems to their required specifications.
Test systems to ensure 100% quality.
Maintain minimum monthly productivity goals.
Troubleshoot problems with computer systems, including hardware, software and peripheral equipment.
Ensure that customers receive the highest level of customer service.
Communicate issues concerning customer orders to the area Help Desk or Team Leader.
Adhere to safety procedures and guidelines at all times.
REQUIRED EXPERIENCE FOR SUPPORT TECHNICIAN:
Net+ Certification
Knowledge of computer components and configuration of various types of computers, as demonstrated by previous experience building and installing computers
Basic knowledge of CDW’s internal systems
SKILLS AND QUALIFICATIONS FOR SUPPORT TECHNICIAN:
Demonstrate ability to lift and carry up to 25 pounds of force frequently (34-67% of the workday) and 26 to 50 pounds of force occasionally (0-33% of the workday). The team lift system must be utilized for loads weighing more than 50 pounds.
Demonstrate ability to push and pull up to 10 pounds of force occasionally (0-33% of the workday).
Demonstrate ability to perform eight or more hours of standing, walking, bending, lifting, stooping and carrying products in combination at any given time.
Ability to work in a warehouse environment which includes changes in temperature as weather fluctuates, noise from conveyors and forklifts.
Why should you choose Epitec?
We started Epitec with a single focus, “Placing People First.” Knowing every good endeavor begins with listening and understanding, we’ve set about challenging every part of the employment process. Bringing the proper connections together for the perfect fit.
How is Epitec different?
Epitec gets to know our prospective employees, using these insights to locate the perfect placement for you. We are there, every step of the way. Providing a best-in-class compensation package combined with the opportunity to grow financially and personally through your work.
What is the result?
Epitec represents the world’s top companies and works to fill their open jobs with the world’s best talent. That’s led to Epitec servicing an impressive list of Fortune 100 companies. We've also won many awards, including one of Crain’s Detroit Business “Cool Places to Work,” and 101 Best & Brightest – local, national and elite winner. And that’s just the beginning, as we work to innovate the way the world thinks about employment.
Perform computer system hardware upgrades and repairs
Installing hardware and software systems
Conduct hardware and software repairs
Examine and repair computer hardware and peripheral components
Oversee and participate in computer hardware and software upgrades
Resolve technical hardware and software issues
Install computer hardware, software, wiring and equipment
Recommended Skills
Computer Hardware Installations (Computer Systems) Maintenance Repairing (Computer Systems) Troubleshooting (Problem Solving)
Help us improve CareerBuilder by providing feedback about this job:
Report this job
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Computer', 'Hardware', 'Installations', '(Computer', 'Systems)', 'Maintenance', 'Repairing', '(Computer', 'Systems)', 'Troubleshooting', '(Problem', 'Solving)']];https://www.careerbuilder.com/job/JD85S66D8GW2WP28H7T
6;BBC Technology Solutions Cincinnati, OH Full Time;Computer Hardware Tech;Ohio;$15.00 - $23.00/Hour;"This is your exciting opportunity to work for a fast-growing computer refurb company.
Are you a leader with the break/fix model to diagnose, repair, and maintain hardware and software components for the smooth running of computer systems?

Then we are interested in you!
If you enjoy working in a fast-paced, fun atmosphere, positive company culture, and fulfilling responsibilities. then you need to apply! BBC Technology Solutions is interviewing now to fill these new full-time positions, quickly. If you are an organized, reliable, detailed-oriented, and a leader as a Computer Break/Fix Technician we want you to be a part of our team!


Use your expertise to:
· Troubleshoots, setup, installs and configures PC hardware such as memory, adapter cards, printers, smartphones, etc. for company-owned devices
· Implements systems to ensure ongoing technology maintenance and enhancements
· Assists with network support issues such as account creation, installation, and maintenance of network printers, low-level maintenance, management of disk space, etc
· Understand and use all windows operating systems, including Linux and Unix
· Assists with network management in development implementation of wiring configuration, connectivity solutions, overall network operation systems, network software, server hardware configurations, network file systems, and directory structure
· Assists in ensuring LAN/WAN system integrity and security. Also assists with installation and configuration of network hardware and software
· Provides input for purchases of hardware and software needed to operate the network, servers, and desktop PC’s
· Assists in evaluating customer’s needs and recommends appropriate equipment and software configurations
· Assist with Purchase orders and invoicing customers utilizing QuickBooks (accounting version)
· Assist with inventory management
· Microsoft Office 365

What you need to bring with you:
· Basic mathematical skills such as adding, subtracting, multiplication, and division
· Excellent verbal & written communication skills
· Good interpersonal skills
· Analytical thinker with Problem-solving skills
· Proficient in database programming in software installation
· CompTIA+ Certification preferred but not required
· Must have the physical abilities to lift 50+lbs. at one time, and the ability to stand for long extended periods at a time. This position may also require pushing, pulling, bending, lifting, sitting, stretching, and reaching
Recommended Skills
Computer Hardware Computer Systems Installations (Computer Systems) Networking Repairing (Computer Systems) Troubleshooting (Problem Solving)
Help us improve CareerBuilder by providing feedback about this job:
Report this job
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Computer', 'Hardware', 'Computer', 'Systems', 'Installations', '(Computer', 'Systems)', 'Networking', 'Repairing', '(Computer', 'Systems)', 'Troubleshooting', '(Problem', 'Solving)']];https://www.careerbuilder.com/job/JCL1JX6PQ9G87HDW028
7;Ambassador Personnel LaGrange, GA Part Time;Computer Specialist;Géorgie;$14.00 - $15.00/Hour;"Ambassador Personnel is looking to hire a Computer Specialist/PC Technician.

The Computer Specialist/PC Technician is responsible for assisting the IT Manager with the installation, maintenance, and repair of computers and networks across all locations. Under minimal supervision from the Technology Manager, the Computer Technician will ensure that IT infrastructure is in place and is used to its maximum capabilities.

skills required:
• Experience with computer systems and hardware/software maintenance
• Ability to work accurately and problem-solve
• Maintain and repair technological equipment or peripheral devices (printers, speakers etc.).
• Manage security options and software in computers and networks to maintain privacy and protection from attacks
• Periodically travel to service locations in Carrollton, Newnan, Franklin, and Manchester to install hardware
If you are interested in learning more about this position, please call us at
706-634-9075.
Ambassador Personnel, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, religion, sex, disability status, protected veteran status, or any other attribute protected by law.
Recommended Skills
Computer Hardware Desktop Support Help Customer Phone Support
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 11/West Point
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Computer', 'Hardware', 'Desktop', 'Support', 'Help', 'Customer', 'Phone', 'Support']];https://www.careerbuilder.com/job/JCL6NG678RQ8HKPQM8P
8;National Security Agency Fort Meade, MD Full Time;Computer Scientist - Development Programs - Mid-Level;Maryland;$86,389 - $116,788/Year;"Responsibilities
The mission demands that NSA ""see"" the world through a different lens than any other organization. Our Computer Scientists face technical challenges well beyond the wildest imaginations of most people. NSA's mission requires persistent engagement to anticipate and understand complex threats in real-time, on a global scale. From Counter-Terrorism to Combat Support to Cybersecurity, NSA's Computer Science community creates novel, cutting-edge solutions that advance science and underpin every aspect of our foreign intelligence and cybersecurity missions. Solving these extraordinary problems allows NSA to share solutions with the world by contributing to open source, licensing patents, and publishing technical papers.

NSA's development programs help employees enhance their skills and improve their understanding of a specific discipline. The programs are generally three years long and feature rotational tours throughout the Agency. Designed for entry to mid-level employees, development program participants are afforded the opportunity to receive tailored training, often with a cohort, and multiple assignments across Agency Directorates to develop skills and experience to ground their career at the NSA.

Applicants will be considered for one of the following NSA's Development Programs:

CDP - Computer Science Development Program
C2DP - Cryptanalytic Computer Network Operations Development Program
CNODP - Computer Network Operations Development Program
CSEDP - Cybersecurity Engineering Development Program
ITDP - Information Technology Development Program

For additional information on these development programs please visit: www.intelligencecareers.gov/NSA/nsadevprograms.html.


Qualifications
Salary Range: $86,389 - $116,788 (Full Performance)

*The qualifications listed are the minimum acceptable to be considered for the position. Salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position.

Entry is with a Bachelor's degree plus 3 years of relevant experience or a Master's degree plus 1 year of relevant experience or a Doctoral degree and no experience. An Associate's degree plus 5 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position.

Degree must be in Computer Science (CS). Related fields (e.g., Engineering, Mathematics) may be considered relevant if the programs contain, at minimum, a concentration of courses in the following foundational CS areas: algorithms; computer architecture (not network architecture); programming methodologies and languages; data structures; logic and computation; and advanced mathematics (for example, calculus, discrete mathematics). Information Technology (IT) or Information Systems (IS) degrees may be considered relevant if the programs contain the amount and type of coursework equivalent to a CS major.

Relevant experience must be in the software development process (i.e., requirements analysis, software design, implementation, testing, integration, deployment/installation, and maintenance) and programming.
As an NSA computer science development program participant your responsibilities may include:
- creating analytic applications that scale across multiple, very large, data sets from disparate sources
- leveraging and integrating open source, commercial off-the-shelf, and government developed software
- analyzing user/customer requirements related to software and/or software system design
- building software prototypes
- designing, developing, and debugging software applications
- troubleshooting and debugging computer code
- applying mathematical or computational methods and lines of reasoning to complex software systems
- identifying target communications within the global network
- designing and optimizing algorithms, data structures, modeling, and analytics to solve real-world scientific problems
- solving cryptanalytic, high-performance computing, and computer network problems
- leading new advances in computer science, such as:
- microprocessor-based advances
- beyond the horizon supercomputers
- signals processing (including analog control)
- user interfaces
- deep learning
- cybersecurity
- design and implementation of encryption
- advanced algorithms
- detecting, identifying, and evaluating vulnerabilities in cyberspace systems and/or networks
- developing software and/or hardware exploitation capabilities that enable collection of foreign intelligence from target networks and systems
- designing solutions to defend against adversarial threats directed towards the US, to include cutting-edge technologies such as mobile, SCADA, and Internet of Things
- analyzing sophisticated malware to thwart cyber attacks and identify new threats
- developing methods and applications for tools to exploit and analyze computer systems
Recommended Skills
Computer Networking Systems Cybersecurity Data Modeling High Performance Computing Programming And Scripting Experience Software Development
Help us improve CareerBuilder by providing feedback about this job:
Report this job
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Computer', 'Networking', 'Systems', 'Cybersecurity', 'Data', 'Modeling', 'High', 'Performance', 'Computing', 'Programming', 'And', 'Scripting', 'Experience', 'Software', 'Development']];https://www.careerbuilder.com/job/J2V1N074VZMV09TLBKG
9;TalkTextEarn From Home Chattanooga, TN Full-Time/Part-Time;Remote Data Entry Clerk - Work From Your Computer From Home;Tennessee;$45,866 - $67,944/Year;"Remote Data Entry Clerk - Work From Your Computer From Home
Remote work from home administrative assistant, data entry clerk, typing, customer service representative..get started now.
Thank you for checking us out! Work From Home Data Entry Jobs - Part Time, Full Time

We are seeking individuals who are looking for part time or full time work or side gigs to be connected with companies who are hiring employees directly to work from their homes. You will find both full-time and part-time remote opportunities in a variety of career fields.

Legitimate Work From Home Data Entry Jobs are going to require that you have skills relevant to the position you are applying for. Training is provided based on the position.
JOB REQUIREMENTS
Computer with internet access
Quiet work space away from distractions
Must be able and comfortable to working in an environment without immediate supervision
Ability to read, understand, and follow oral and written instructions.
Data entry or administrative assistant experience is not needed but can be a bonus
We are recruiting those who have a background in health care, ware house worker, delivery drivers, customer service, etc - we welcome all backgrounds so long as you're ready to learn
You must apply on our website only.
#COVID-19
Remote Data Entry Clerk - Work From Your Computer From Home

Location: Work At Home Positions (Remote)
Employment Type: Part time/full time independent
Career / Skills Level required: Entry Level
Department: Remote work from home data entry
Education: HS Diploma / GED / Entry Level
Experience: Entry Level, none
Typing 25+ words per minute 
You enjoy data entry work and can perform the work from your home or location of choosing (remote work at home job)
Computer with internet access
It is crucial that you be self-motivated and able to follow explicit directions to begin working from home
Self Motivated - you must be 100% able to commit to working with little supervision
Work from home jobs of this nature require Internet and one of the following: Laptop or PC, MAC, or Smart Device - Android or IOS
Ready to get started? Start today and get paid next week.

Thanks for checking us out and we look forward to helping you achieve your goals!

Our folks come from a wide variety of backgrounds like customer service representative, administrative assistant, health care workers, human resources, warehouse workers, car delivery drivers and many more. 
Recommended Skills
Android Or I Os Computer / Laptop Customer Service Data Entry Internet Remote / Work From Home
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: NEWT A11 extra
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Android', 'Or', 'I', 'Os', 'Computer', '/', 'Laptop', 'Customer', 'Service', 'Data', 'Entry', 'Internet', 'Remote', '/', 'Work', 'From', 'Home']];https://www.careerbuilder.com/job/JD92YS657W663VQQR3H
10;Eugene Oregon Online Jobs Eugene, OR Full-Time/Part-Time;Remote Data Entry Clerk - Work From Your Computer From Home Part Time;Oregon;$45,866 - $67,944/Year;"We're looking for: Remote work from home administrative assistant, data entry clerk, typing, customer service representative. Get Started now!
Thank you for checking us out! Remote Data Entry Clerk - Work From Your Computer From Home Part Time

We are seeking individuals who are looking for part time or full time work or side gigs to be connected with companies who are hiring employees directly to work from their homes. You will find both full-time and part-time remote opportunities in a variety of career fields.

Legitimate Work From Home Data Entry Jobs are going to require that you have skills relevant to the position you are applying for. Training is provided based on the position.
JOB REQUIREMENTS
Computer with internet access
Quiet work space away from distractions
Must be able and comfortable to working in an environment without immediate supervision
Ability to read, understand, and follow oral and written instructions.
Data entry or administrative assistant experience is not needed but can be a bonus
We are recruiting those who have a background in health care, ware house worker, delivery drivers, customer service, etc - we welcome all backgrounds so long as you're ready to learn
You must apply on our website only.
Remote Data Entry Clerk - Work From Your Computer From Home Part Time

Location: Work At Home Positions (Remote)
Employment Type: Part time/full time independent
Career / Skills Level required: Entry Level
Department: Remote work from home data entry
Education: HS Diploma / GED / Entry Level
Experience: Entry Level, none
Typing 25+ words per minute 
You enjoy data entry work and can perform the work from your home or location of choosing (remote work at home job)
Computer with internet access
It is crucial that you be self-motivated and able to follow explicit directions to begin working from home
Self Motivated - you must be 100% able to commit to working with little supervision
Work from home jobs of this nature require Internet and one of the following: Laptop or PC, MAC, or Smart Device - Android or IOS
Ready to get started? Start today and get paid next week.

Thanks for checking us out and we look forward to helping you achieve your goals!

Our folks come from a wide variety of backgrounds like customer service representative, administrative assistant, health care workers, human resources, warehouse workers, car delivery drivers and many more. 
Recommended Skills
Android Or I Os Computer / Laptop Customer Service Data Entry Internet Remote / Work From Home
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: NEWT A11 extra
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Android', 'Or', 'I', 'Os', 'Computer', '/', 'Laptop', 'Customer', 'Service', 'Data', 'Entry', 'Internet', 'Remote', '/', 'Work', 'From', 'Home']];https://www.careerbuilder.com/job/J2V3Y275NBXDQ6RV02H
